epoch,accuracy,loss,val_accuracy,val_loss
0,0.3614894151687622,1.691462755203247,0.44664251804351807,1.4381372928619385
1,0.46703124046325684,1.4340323209762573,0.5162997841835022,1.310327410697937
2,0.507576048374176,1.3514790534973145,0.5151852965354919,1.2984861135482788
3,0.5147514939308167,1.3283498287200928,0.4800780117511749,1.3586410284042358
4,0.5441499352455139,1.2460129261016846,0.4310392737388611,1.4577659368515015
5,0.5321676135063171,1.270851969718933,0.5582334995269775,1.1708674430847168
6,0.5519174933433533,1.2270818948745728,0.523265540599823,1.2609434127807617
7,0.5096310973167419,1.3286091089248657,0.5068264007568359,1.3234949111938477
8,0.47960570454597473,1.4269022941589355,0.4402340352535248,1.455151915550232
9,0.44940611720085144,1.4563466310501099,0.43480077385902405,1.519936442375183
10,0.4536556601524353,1.4304194450378418,0.4388408958911896,1.4792758226394653
11,0.4865373373031616,1.3567254543304443,0.5195040106773376,1.2472333908081055
12,0.49406108260154724,1.3389981985092163,0.33825579285621643,1.736477017402649
13,0.45954230427742004,1.4292865991592407,0.42978546023368835,1.4680140018463135
14,0.44174301624298096,1.4573712348937988,0.47060462832450867,1.3836140632629395
15,0.46870318055152893,1.401756763458252,0.48119252920150757,1.349830985069275
